,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
47,1318,Pil Italica Life,12.22,64.99,287.22,0,1.02,-49.75,19.5,4.11,7.96,,11.72,,,17.22,12.22,16.22,,,,11.72,17.22,11.72,2022-02-04,2022-02-04,0 days,46.928,4.266
48,1873,Capital Trade Lk,12.32,150.26,75.12,0,0.13,-80,2.13,37.42,8.72,,11.82,,,17.32,12.32,16.32,,,,11.82,17.32,11.82,2022-02-04,2022-02-04,0 days,46.531,4.23
49,1678,Tirupati Forge,12.35,95.32,121.03,0.09,0.48,140,18.27,173.09,3.55,,11.85,,,17.35,12.35,16.35,,,,11.85,17.35,11.85,2022-02-04,2022-02-04,0 days,46.414,4.219
50,1713,Bihar Sponge,12.45,12.11,112.32,0,0.98,46.27,6.94,64.07,92.46,,11.95,,,17.45,12.45,16.45,,,,11.95,17.45,11.95,2022-02-04,2022-02-04,0 days,46.025,4.184
51,1298,Sakuma Exports,12.69,23.72,297.66,0.39,2.98,57.67,388.45,65.21,5.1,,12.19,,,17.69,12.69,16.69,,,,12.19,17.69,12.19,2022-02-04,2022-02-04,0 days,45.119,4.102
52,1758,Century Extrus.,12.75,15.35,102,0,1.54,35.09,73.26,43.45,11.35,,12.25,,,17.75,12.75,16.75,,,,12.25,17.75,12.25,2022-02-04,2022-02-04,0 days,44.898,4.082
53,1351,Hindustan Motors,12.76,783.08,266.26,0,10.14,-205,0,-100,,,12.26,,,17.76,12.76,16.76,,,,12.26,17.76,12.26,2022-02-04,2022-02-04,0 days,44.861,4.078
54,1483,Globe Textiles,12.95,54.83,195.71,0,1.38,-21.59,107.14,9.54,6.99,,12.45,,,17.95,12.95,16.95,,,,12.45,17.95,12.45,2022-02-04,2022-02-04,0 days,44.177,4.016
55,1615,Sumeet Industrie,13.27,5.93,137.58,0,8.92,58.72,204.45,12.27,-1.11,,12.77,,,18.27,13.27,17.27,,,,12.77,18.27,12.77,2022-02-04,2022-02-04,0 days,43.07,3.915
56,1365,Paramount Comm.,13.3,50.83,258.28,0,1.59,591.3,138.09,17.58,2.58,,12.8,,,18.3,13.3,17.3,,,,12.8,18.3,12.8,2022-02-04,2022-02-04,0 days,42.969,3.906
57,1368,U. Y. Fincorp,13.49,20.24,256.63,0,2.46,0,35.04,812.5,5.35,,12.99,,,18.49,13.49,17.49,,,,12.99,18.49,12.99,2022-02-04,2022-02-04,0 days,42.34,3.849
58,240,UCO Bank,13.7,23.48,16379.65,0,310.39,775.82,3919.3,8.79,3.8,,13.2,,,18.7,13.7,17.7,,,,13.2,18.7,13.2,2022-02-04,2022-02-04,0 days,41.667,3.788
59,2010,Future Ent. DVR,13.75,225.59,54.14,0,0.03,200,12.79,14.91,,,13.25,,,18.75,13.75,17.75,,,,13.25,18.75,13.25,2022-02-04,2022-02-04,0 days,41.509,3.774
60,2028,Magnum Ventures,13.82,5.22,51.96,0,0.78,154.93,73.44,101.37,0.82,,13.32,,,18.82,13.82,17.82,,,,13.32,18.82,13.32,2022-02-04,2022-02-04,0 days,41.291,3.754
61,1093,MSP Steel & Pow.,14.11,17.27,543.82,0,9.36,43.34,571.74,28.27,7.82,,13.61,,,19.11,14.11,18.11,,,,13.61,19.11,13.61,2022-02-04,2022-02-04,0 days,40.411,3.674
62,1676,S.A.L Steel,14.3,5.49,121.55,0,2.66,168.73,94.87,19.66,7.29,,13.8,,,19.3,14.3,18.3,,,,13.8,19.3,13.8,2022-02-04,2022-02-04,0 days,39.855,3.623
63,1216,Genus Paper & Bo,14.33,36.38,368.51,0,-2.51,-165.03,114.71,43.19,3.2,,13.83,,,19.33,14.33,18.33,,,,13.83,19.33,13.83,2022-02-04,2022-02-04,0 days,39.769,3.615
64,1244,LGB Forge,14.4,57.65,343.01,0,1.55,25,36.34,51.99,11.34,,13.9,,,19.4,14.4,18.4,,,,13.9,19.4,13.9,2022-02-04,2022-02-04,0 days,39.568,3.597
65,937,Zee Media,14.52,16.31,908.1,0,-102.67,-67.51,206.14,37.78,21.82,,14.02,,,19.52,14.52,18.52,,,,14.02,19.52,14.02,2022-02-04,2022-02-04,0 days,39.23,3.566
66,1866,ATV Projects,14.55,22.19,77.29,0,5.23,52.31,9.93,26.02,1.22,,14.05,,,19.55,14.55,18.55,,,,14.05,19.55,14.05,2022-02-04,2022-02-04,0 days,39.146,3.559
67,2030,White Organic,14.81,50.35,51.85,0,2.04,56.92,24.83,35.09,0.78,,14.31,,,19.81,14.81,18.81,,,,14.31,19.81,14.31,2022-02-04,2022-02-04,0 days,38.435,3.494
68,1211,Dhanlaxmi Bank,14.9,13.67,376.99,0,3.66,-73.88,229.01,-6.13,5.18,,14.4,,,19.9,14.9,18.9,,,,14.4,19.9,14.4,2022-02-04,2022-02-04,0 days,38.194,3.472
69,1970,Skyline Millars,15,32.44,60.33,0,1.4,-22.65,0,-100,10.56,,14.5,,,20,15,19,,,,14.5,20,14.5,2022-02-04,2022-02-04,0 days,37.931,3.448
70,1779,Standard Inds.,15.15,6.71,97.46,0,7.88,836.45,2.07,-39.65,40.21,,14.65,,,20.15,15.15,19.15,,,,14.65,20.15,14.65,2022-02-04,2022-02-04,0 days,37.543,3.413
71,1583,Kanani Industrie,15.2,165.26,150.38,0,0.29,231.82,101.11,46.83,1.1,,14.7,,,20.2,15.2,19.2,,,,14.7,20.2,14.7,2022-02-04,2022-02-04,0 days,37.415,3.401
72,638,Hind.Construct.,15.69,5.03,2373.91,0,139.23,116.38,2787.45,53.95,11.36,,15.19,,,20.69,15.69,19.69,,,,15.19,20.69,15.19,2022-02-04,2022-02-04,0 days,36.208,3.292
73,821,Syncom Formul.,15.7,46.63,1303.03,0,5.62,-39.18,52.94,-19.61,21.13,,15.2,,,20.7,15.7,19.7,,,,15.2,20.7,15.2,2022-02-04,2022-02-04,0 days,36.184,3.289
74,1666,RRIL,15.75,134.08,123.56,0,-0.27,,16.09,,,,15.25,,,20.75,15.75,19.75,,,,15.25,20.75,15.25,2022-02-04,2022-02-04,0 days,36.066,3.279
75,1816,Blue Cloud Soft.,16,630.86,88.32,0,0.08,700,0.15,400,0.21,,15.5,,,21,16,20,,,,15.5,21,15.5,2022-02-04,2022-02-04,0 days,35.484,3.226
76,1438,Surana Telecom,16,44.59,217.22,0,1.84,64.29,8.63,-8.39,5.55,,15.5,,,21,16,20,,,,15.5,21,15.5,2022-02-04,2022-02-04,0 days,35.484,3.226
77,901,KBC Global,16.25,36.04,999.38,0.17,4.42,18.18,28.82,-26.87,20.35,,15.75,,,21.25,16.25,20.25,,,,15.75,21.25,15.75,2022-02-04,2022-02-04,0 days,34.921,3.175
78,761,India Power Corp,16.3,62.81,1587.29,0.31,1.56,-57.49,138.47,8.15,2.98,,15.8,,,21.3,16.3,20.3,,,,15.8,21.3,15.8,2022-02-04,2022-02-04,0 days,34.81,3.165
79,837,Orient Green,16.4,49.18,1231.19,0,5.97,123.53,82.53,60.6,3.99,,15.9,,,21.4,16.4,20.4,,,,15.9,21.4,15.9,2022-02-04,2022-02-04,0 days,34.591,3.145
80,1587,Parvati Sweetner,16.55,38.76,149.26,0,0.09,-93.88,13.2,-27.39,4.08,,16.05,,,21.55,16.55,20.55,,,,16.05,21.55,16.05,2022-02-04,2022-02-04,0 days,34.268,3.115
81,429,Reliance Power,16.88,66.77,5739.41,0,-49.05,-146.42,1847.24,-24.58,7.57,,16.38,,,21.88,16.88,20.88,,,,16.38,21.88,16.38,2022-02-04,2022-02-04,0 days,33.578,3.053
82,1392,Alankit,16.9,24.02,241.61,1.17,1.42,-56.31,33.16,22.45,17.38,,16.4,,,21.9,16.9,20.9,,,,16.4,21.9,16.4,2022-02-04,2022-02-04,0 days,33.537,3.049
83,2034,Fervent Synerg.,17.15,1029,51.45,0,-0.03,-137.5,0.22,-4.35,0.56,,16.65,,,22.15,17.15,21.15,,,,16.65,22.15,16.65,2022-02-04,2022-02-04,0 days,33.033,3.003
84,1959,Supreme Holdings,17.55,15.73,62.26,0,0.14,75,13.58,101.78,1.02,,17.05,,,22.55,17.55,21.55,,,,17.05,22.55,17.05,2022-02-04,2022-02-04,0 days,32.258,2.933
85,1947,Chowgule Steam,17.7,4.22,64.27,0,8.6,410.47,18.38,231.77,,,17.2,,,22.7,17.7,21.7,,,,17.2,22.7,17.2,2022-02-04,2022-02-04,0 days,31.977,2.907
86,1635,LKP Securities,17.75,19.66,132.49,1.12,2.94,58.06,22.84,8.61,12.08,,17.25,,,22.75,17.75,21.75,,,,17.25,22.75,17.25,2022-02-04,2022-02-04,0 days,31.884,2.899
87,758,Lloyds Steels,17.75,462.37,1595.19,0,3.75,331.03,19.29,-51.15,1.29,,17.25,,,22.75,17.75,21.75,,,,17.25,22.75,17.25,2022-02-04,2022-02-04,0 days,31.884,2.899
88,1701,Scanpoint Geoma,17.85,48.64,116.22,0,0.57,7.55,8.96,-42.38,5.85,,17.35,,,22.85,17.85,21.85,,,,17.35,22.85,17.35,2022-02-04,2022-02-04,0 days,31.7,2.882
89,1887,Patel Integrated,17.9,65.22,73.04,0.57,0.92,2966.67,60.46,-16.94,4.4,,17.4,,,22.9,17.9,21.9,,,,17.4,22.9,17.4,2022-02-04,2022-02-04,0 days,31.609,2.874
90,1411,Tilak Ventures,18.1,1011.06,232.53,0,-0.67,-248.89,0.11,-95.07,4.99,,17.6,,,23.1,18.1,22.1,,,,17.6,23.1,17.6,2022-02-04,2022-02-04,0 days,31.25,2.841
91,1555,Pritika Auto,18.1,10.77,160.52,0,3.88,46.42,85.53,43.1,8.26,,17.6,,,23.1,18.1,22.1,,,,17.6,23.1,17.6,2022-02-04,2022-02-04,0 days,31.25,2.841
92,1914,Beardsell,18.5,23.98,69.31,0.56,0.52,-8.77,47.17,48.66,7.03,,18,,,23.5,18.5,22.5,,,,18,23.5,18,2022-02-04,2022-02-04,0 days,30.556,2.778
93,1782,Celebrity Fash.,18.6,13.99,96.12,0,2.97,318.31,96.98,85.57,0.25,,18.1,,,23.6,18.6,22.6,,,,18.1,23.6,18.1,2022-02-04,2022-02-04,0 days,30.387,2.762
