,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
1497,257,Suven Pharma,560,35.77,14255.64,0.35,96.98,30.91,300.99,26.79,40.43,,559.5,,,565,560,564,,,,559.5,565,559.5,2022-02-04,2022-02-04,0 days,0.983,0.089
1498,828,India Nipp.Elec.,560,23.97,1266.79,1.09,17.92,29.29,158.52,10.07,11.62,,559.5,,,565,560,564,,,,559.5,565,559.5,2022-02-04,2022-02-04,0 days,0.983,0.089
1499,1067,Kwality Pharma,561.95,37.79,583.09,0,,,,,26.31,,561.45,,,566.95,561.95,565.95,,,,561.45,566.95,561.45,2022-02-04,2022-02-04,0 days,0.98,0.089
1500,1099,Sahyadri Industr,562.8,7.63,538.11,0.89,11.84,-2.31,104.34,14.4,30.91,,562.3,,,567.8,562.8,566.8,,,,562.3,567.8,562.3,2022-02-04,2022-02-04,0 days,0.978,0.089
1501,411,JK Lakshmi Cem.,563.15,14.39,6626.58,0.67,64.12,-43.75,1285.68,2.05,20.19,,562.65,,,568.15,563.15,567.15,,,,562.65,568.15,562.65,2022-02-04,2022-02-04,0 days,0.978,0.089
1502,841,GNA Axles,563.8,12.33,1210.27,0.44,16.67,-37.42,301.27,9.14,15.43,,563.3,,,568.8,563.8,567.8,,,,563.3,568.8,563.3,2022-02-04,2022-02-04,0 days,0.976,0.089
1503,1075,HCP Plastene,565,65.85,578.21,0,-2.5,-67.79,11.15,,-18.08,,564.5,,,570,565,569,,,,564.5,570,564.5,2022-02-04,2022-02-04,0 days,0.974,0.089
1504,501,Mahindra Logis.,569.95,109.48,4096.35,0.43,5.69,-68.82,1117.88,6.8,7.89,,569.45,,,574.95,569.95,573.95,,,,569.45,574.95,569.45,2022-02-04,2022-02-04,0 days,0.966,0.088
1505,1754,Sanco Trans,570,21.02,102.6,0.26,1.55,43.27,31.61,17.42,6.37,,569.5,,,575,570,574,,,,569.5,575,569.5,2022-02-04,2022-02-04,0 days,0.966,0.088
1506,399,Glenmark Life,571.65,19.88,7004.28,1.86,115.2,58.96,561.76,7.86,96.86,,571.15,,,576.65,571.65,575.65,,,,571.15,576.65,571.15,2022-02-04,2022-02-04,0 days,0.963,0.088
1508,983,Centum Electron,573.1,153.27,738.43,0.69,-0.64,-108.41,172.42,-15.93,8.34,,572.6,,,578.1,573.1,577.1,,,,572.6,578.1,572.6,2022-02-04,2022-02-04,0 days,0.961,0.087
1507,1026,Dynemic Products,573.65,23.22,649.85,0,5.25,-26.06,57.95,14.44,15.09,,573.15,,,578.65,573.65,577.65,,,,573.15,578.65,573.15,2022-02-04,2022-02-04,0 days,0.96,0.087
1509,519,Mah. Seamless,574,10.1,3845.84,0.63,94.68,79.11,1139.4,102.68,9.41,,573.5,,,579,574,578,,,,573.5,579,573.5,2022-02-04,2022-02-04,0 days,0.959,0.087
1510,742,CARE Ratings,575.75,21.99,1706.32,2.97,14.9,-5.76,48.65,4.6,21.24,,575.25,,,580.75,575.75,579.75,,,,575.25,580.75,575.25,2022-02-04,2022-02-04,0 days,0.956,0.087
1511,504,Newgen Software,580.4,25.47,4061.65,0.6,47.81,34.98,202.51,9.16,27.59,,579.9,,,585.4,580.4,584.4,,,,579.9,585.4,579.9,2022-02-04,2022-02-04,0 days,0.948,0.086
1512,1004,Yuken India,580.45,35.06,696.54,0.1,5.75,4891.67,89.81,108.33,3.4,,579.95,,,585.45,580.45,584.45,,,,579.95,585.45,579.95,2022-02-04,2022-02-04,0 days,0.948,0.086
1513,190,Syngene Intl.,581.35,57.82,23300.28,0,103.4,1.57,639.5,9.48,13.93,,580.85,,,586.35,581.35,585.35,,,,580.85,586.35,580.85,2022-02-04,2022-02-04,0 days,0.947,0.086
1514,744,Nucleus Soft.,583.25,25.36,1693.79,1.54,8.58,-70.87,114.12,-16.69,21.6,,582.75,,,588.25,583.25,587.25,,,,582.75,588.25,582.75,2022-02-04,2022-02-04,0 days,0.944,0.086
1515,12,Wipro,583.85,26.41,320031.68,0.17,2969,0.03,20315,29.64,22.1,,583.35,,,588.85,583.85,587.85,,,,583.35,588.85,583.35,2022-02-04,2022-02-04,0 days,0.943,0.086
1516,316,Capri Global,584,58.68,10254.95,0.07,52.45,-13.97,213.88,17.29,10.65,,583.5,,,589,584,588,,,,583.5,589,583.5,2022-02-04,2022-02-04,0 days,0.943,0.086
1517,796,InfoBeans Tech.,584.95,28.25,1413.87,0,17.06,18.64,71.59,62.04,19.45,,584.45,,,589.95,584.95,588.95,,,,584.45,589.95,584.45,2022-02-04,2022-02-04,0 days,0.941,0.086
1518,520,H.G. Infra Engg.,587.85,10.81,3831.08,0.14,74.51,96.86,781.55,61.69,25.65,,587.35,,,592.85,587.85,591.85,,,,587.35,592.85,587.35,2022-02-04,2022-02-04,0 days,0.936,0.085
1519,1981,Kintech Renew.,589.45,280.72,58.96,0.17,0.03,-50,0.01,,3.79,,588.95,,,594.45,589.45,593.45,,,,588.95,594.45,588.95,2022-02-04,2022-02-04,0 days,0.934,0.085
1520,626,Anand Rathi Wea.,589.55,55.53,2453.52,0.85,31.87,151.74,102,57.48,22.45,,589.05,,,594.55,589.55,593.55,,,,589.05,594.55,589.05,2022-02-04,2022-02-04,0 days,0.934,0.085
1521,244,Metro Brands,592,235.68,16073.23,0,101.27,56.89,483.77,59.03,9.59,,591.5,,,597,592,596,,,,591.5,597,591.5,2022-02-04,2022-02-04,0 days,0.93,0.085
1522,1029,White Organic Re,592.85,2694.51,646.68,0,0.42,40,5.41,-2.35,0.74,,592.35,,,597.85,592.85,596.85,,,,592.35,597.85,592.35,2022-02-04,2022-02-04,0 days,0.929,0.084
1523,363,Avanti Feeds,594.35,31.89,8097.76,1.07,24.12,-70.01,1226,8.34,28.93,,593.85,,,599.35,594.35,598.35,,,,593.85,599.35,593.85,2022-02-04,2022-02-04,0 days,0.926,0.084
1524,1077,Beta Drugs Ltd,594.2,48.74,571.24,0,,,,,22.17,,593.7,,,599.2,594.2,598.2,,,,593.7,599.2,593.7,2022-02-04,2022-02-04,0 days,0.926,0.084
1525,494,NESCO,596.15,23.97,4200.49,0.5,44.01,35.54,80.76,25.79,15.59,,595.65,,,601.15,596.15,600.15,,,,595.65,601.15,595.65,2022-02-04,2022-02-04,0 days,0.923,0.084
1526,866,Shakti Pumps,596.35,14.92,1096.09,1.33,14.79,-44.25,268.63,-15.17,28.39,,595.85,,,601.35,596.35,600.35,,,,595.85,601.35,595.85,2022-02-04,2022-02-04,0 days,0.923,0.084
1527,907,RPG LifeScience.,597.4,19.43,988.03,1.17,14.63,13.68,115.58,7.42,27.23,,596.9,,,602.4,597.4,601.4,,,,596.9,602.4,596.9,2022-02-04,2022-02-04,0 days,0.921,0.084
1528,670,PSP Projects,598.4,14.38,2154.24,0.64,46.91,57.15,485.62,24.47,21.99,,597.9,,,603.4,598.4,602.4,,,,597.9,603.4,597.9,2022-02-04,2022-02-04,0 days,0.92,0.084
1529,1464,IKAB Securities,600,50.16,205.2,0,3.06,24.39,6.77,82.48,77.67,,599.5,,,605,600,604,,,,599.5,605,599.5,2022-02-04,2022-02-04,0 days,0.917,0.083
1530,254,Asahi India Glas,601.65,48.55,14626.1,0.18,100.22,35.6,829.32,10.21,11.27,,601.15,,,606.65,601.65,605.65,,,,601.15,606.65,601.15,2022-02-04,2022-02-04,0 days,0.915,0.083
1531,325,Jubilant Ingrev.,602.55,20.38,9597.52,0.41,129.07,,1286.48,,7.88,,602.05,,,607.55,602.55,606.55,,,,602.05,607.55,602.05,2022-02-04,2022-02-04,0 days,0.914,0.083
1532,1836,V R Films & Stud,605.25,47.45,83.03,0.33,,,,,23.93,,604.75,,,610.25,605.25,609.25,,,,604.75,610.25,604.75,2022-02-04,2022-02-04,0 days,0.909,0.083
1533,1334,Jenburkt Pharma,606.05,12.4,278.13,1.69,7.97,40.56,35.51,16.5,23.82,,605.55,,,611.05,606.05,610.05,,,,605.55,611.05,605.55,2022-02-04,2022-02-04,0 days,0.908,0.083
1534,930,Allsec Tech.,608.4,29.04,927.21,7.43,13.16,48.37,83.22,16.08,17.05,,607.9,,,613.4,608.4,612.4,,,,607.9,613.4,607.9,2022-02-04,2022-02-04,0 days,0.905,0.082
1535,438,Sharda Cropchem,609.4,17.96,5498.05,0.83,102.2,111.55,879.81,78.17,23.17,,608.9,,,614.4,609.4,613.4,,,,608.9,614.4,608.9,2022-02-04,2022-02-04,0 days,0.903,0.082
1536,1885,Mercury Labs,609.95,21.4,73.19,0.57,0.52,-74.51,15.6,-15.9,20.57,,609.45,,,614.95,609.95,613.95,,,,609.45,614.95,609.45,2022-02-04,2022-02-04,0 days,0.902,0.082
1537,1217,GKW,614.95,14.78,367.12,0,6.43,54.94,9.77,35.32,12.46,,614.45,,,619.95,614.95,618.95,,,,614.45,619.95,614.45,2022-02-04,2022-02-04,0 days,0.895,0.081
1538,948,Rane Holdings,614.7,1583.51,877.79,0,15.05,171.42,691.81,34.07,-0.98,,614.2,,,619.7,614.7,618.7,,,,614.2,619.7,614.2,2022-02-04,2022-02-04,0 days,0.895,0.081
1539,980,Creative Newtech,616,49.83,739.2,0.08,3.9,59.84,237.57,111.55,22.45,,615.5,,,621,616,620,,,,615.5,621,615.5,2022-02-04,2022-02-04,0 days,0.894,0.081
1540,208,Godrej Industrie,616.5,52.14,20750.4,0,143.6,-4.06,3280.18,37.46,6.85,,616,,,621.5,616.5,620.5,,,,616,621.5,616,2022-02-04,2022-02-04,0 days,0.893,0.081
1541,407,Easy Trip Plann.,617.2,58.63,6705.65,0.33,40.28,80.3,85.77,94.53,65.49,,616.7,,,622.2,617.2,621.2,,,,616.7,622.2,616.7,2022-02-04,2022-02-04,0 days,0.892,0.081
1542,1020,RACL Geartech,620,25.38,668.5,0.15,7.53,-17.07,74.82,14.68,20.21,,619.5,,,625,620,624,,,,619.5,625,619.5,2022-02-04,2022-02-04,0 days,0.888,0.081
1543,266,Century Plyboard,622.65,44.49,13833.59,0.16,94.09,42.89,854.79,29.49,20.01,,622.15,,,627.65,622.65,626.65,,,,622.15,627.65,622.15,2022-02-04,2022-02-04,0 days,0.884,0.08
1544,382,Deepak Fertiliz.,623.2,14.67,7515.37,1.21,179.73,105.29,1955.7,35.14,14.79,,622.7,,,628.2,623.2,627.2,,,,622.7,628.2,622.7,2022-02-04,2022-02-04,0 days,0.883,0.08
1545,536,Dollar Industrie,624.95,27.53,3544.46,0.38,44.41,56.48,382.05,22.53,18.85,,624.45,,,629.95,624.95,628.95,,,,624.45,629.95,624.45,2022-02-04,2022-02-04,0 days,0.881,0.08
1546,654,Nahar Spinning,625,7.02,2254.08,0.24,136.58,912.98,842.68,55.88,6.55,,624.5,,,630,625,629,,,,624.5,630,624.5,2022-02-04,2022-02-04,0 days,0.881,0.08
1547,235,KPIT Technologi.,625.15,69.12,17138.09,0.24,70.01,73.29,622.37,20.32,14.02,,624.65,,,630.15,625.15,629.15,,,,624.65,630.15,624.65,2022-02-04,2022-02-04,0 days,0.88,0.08
1548,487,Sudarshan Chem.,626.5,31.22,4337.11,0.96,36.38,-7.1,601.76,18.84,17.08,,626,,,631.5,626.5,630.5,,,,626,631.5,626,2022-02-04,2022-02-04,0 days,0.879,0.08
1549,1663,Uni Abex Alloy,627.5,10.38,123.93,1.59,2.67,12.66,34.67,48.61,26.42,,627,,,632.5,627.5,631.5,,,,627,632.5,627,2022-02-04,2022-02-04,0 days,0.877,0.08
1550,1311,JK Agri Genetics,630,43.23,292.13,0.23,-15.26,-38.48,4.55,-59.73,13.36,,629.5,,,635,630,634,,,,629.5,635,629.5,2022-02-04,2022-02-04,0 days,0.874,0.079
1551,1369,Mazda,638.2,15.63,255.62,1.7,5.15,-24.82,43.46,4.72,16.19,,637.7,,,643.2,638.2,642.2,,,,637.7,643.2,637.7,2022-02-04,2022-02-04,0 days,0.862,0.078
1552,302,Amara Raja Batt.,639,16.73,10914.93,1.72,144.12,-28.46,2264.19,16.96,21.65,,638.5,,,644,639,643,,,,638.5,644,638.5,2022-02-04,2022-02-04,0 days,0.861,0.078
1553,36,HDFC Life Insur.,639.75,115.69,135103.26,0.31,273.65,3.27,14285.25,-32.69,20.31,,639.25,,,644.75,639.75,643.75,,,,639.25,644.75,639.25,2022-02-04,2022-02-04,0 days,0.86,0.078
1554,89,Cholaman.Inv.&Fn,641.5,30.78,52665.29,0.31,527.71,28.78,2557.28,1.46,9.7,,641,,,646.5,641.5,645.5,,,,641,646.5,641,2022-02-04,2022-02-04,0 days,0.858,0.078
1555,864,Visaka Industrie,643.35,9.38,1111.74,2.36,23.79,6.68,292.25,29.21,21.51,,642.85,,,648.35,643.35,647.35,,,,642.85,648.35,642.85,2022-02-04,2022-02-04,0 days,0.856,0.078
1556,939,Deccan Cements,644.3,8.25,902.51,0.79,27.21,-17.77,190.54,-8.44,26.61,,643.8,,,649.3,644.3,648.3,,,,643.8,649.3,643.8,2022-02-04,2022-02-04,0 days,0.854,0.078
1557,275,Narayana Hrudaya,647,46.47,13222.15,0,99.34,3004.68,940.28,56.52,1.62,,646.5,,,652,647,651,,,,646.5,652,646.5,2022-02-04,2022-02-04,0 days,0.851,0.077
1558,767,M M Forgings,647.45,16.08,1563.01,0.76,27.72,332.45,261.3,77.42,8.02,,646.95,,,652.45,647.45,651.45,,,,646.95,652.45,646.95,2022-02-04,2022-02-04,0 days,0.85,0.077
1559,822,Avadh Sugar,648.75,9.98,1298.73,0.66,28.86,673.73,746.52,7.21,10.3,,648.25,,,653.75,648.75,652.75,,,,648.25,653.75,648.25,2022-02-04,2022-02-04,0 days,0.848,0.077
1560,1350,Sigma Solve,649.6,88.14,267.05,0.07,,,,,61.29,,649.1,,,654.6,649.6,653.6,,,,649.1,654.6,649.1,2022-02-04,2022-02-04,0 days,0.847,0.077
1561,1210,Pondy Oxides,651,12.12,378.37,0.37,15.03,1304.67,400.11,51.68,7.52,,650.5,,,656,651,655,,,,650.5,656,650.5,2022-02-04,2022-02-04,0 days,0.846,0.077
1562,334,V I P Inds.,650.95,181.39,9208.04,0,33.47,578.14,397.34,70.88,-11.9,,650.45,,,655.95,650.95,654.95,,,,650.45,655.95,650.45,2022-02-04,2022-02-04,0 days,0.846,0.077
1563,146,TVS Motor Co.,659.05,37.02,31311.47,0.56,242.17,33.85,6483.42,23.39,11.1,,658.55,,,664.05,659.05,663.05,,,,658.55,664.05,658.55,2022-02-04,2022-02-04,0 days,0.835,0.076
1564,683,Krsnaa Diagnost.,658.85,11.17,2068.6,0,17.23,331.83,106.31,8.65,129.3,,658.35,,,663.85,658.85,662.85,,,,658.35,663.85,658.35,2022-02-04,2022-02-04,0 days,0.835,0.076
1565,121,Container Corpn.,660,48.83,40213.47,0.9,284.61,21.49,1938.03,9.69,7.75,,659.5,,,665,660,664,,,,659.5,665,659.5,2022-02-04,2022-02-04,0 days,0.834,0.076
1566,30,JSW Steel,660.2,7.4,159584.86,1,4357,62.51,38071,74.17,15.53,,659.7,,,665.2,660.2,664.2,,,,659.7,665.2,659.7,2022-02-04,2022-02-04,0 days,0.834,0.076
1567,807,Monte Carlo Fas.,660.95,13.84,1370.31,2.29,33.91,665.46,238.29,142.53,14.68,,660.45,,,665.95,660.95,664.95,,,,660.45,665.95,660.45,2022-02-04,2022-02-04,0 days,0.833,0.076
1568,460,ISGEC Heavy,662.35,31.61,4870.27,0.44,10.52,-86.33,1376.11,2.34,14.51,,661.85,,,667.35,662.35,666.35,,,,661.85,667.35,661.85,2022-02-04,2022-02-04,0 days,0.831,0.076
1569,991,Raghav Product.,662.8,41.2,720.91,0.08,4.59,73.86,23.89,23.34,22.76,,662.3,,,667.8,662.8,666.8,,,,662.3,667.8,662.3,2022-02-04,2022-02-04,0 days,0.83,0.075
1570,339,Can Fin Homes,664.25,19.64,8844.78,0.3,115.69,-12.3,508.27,1.1,8.54,,663.75,,,669.25,664.25,668.25,,,,663.75,669.25,663.75,2022-02-04,2022-02-04,0 days,0.829,0.075
1571,2039,Alfred Herbert,665,93.11,51.21,0.41,0.64,900,0.75,-62.69,0.14,,664.5,,,670,665,669,,,,664.5,670,664.5,2022-02-04,2022-02-04,0 days,0.828,0.075
1572,1021,Tanfac Inds.,665,14.38,663.36,0.52,14.97,46.76,90.27,91.53,35.15,,664.5,,,670,665,669,,,,664.5,670,664.5,2022-02-04,2022-02-04,0 days,0.828,0.075
1573,311,CreditAcc. Gram.,666.1,101.51,10377.71,0,71.99,-7.91,509.91,8.34,8.2,,665.6,,,671.1,666.1,670.1,,,,665.6,671.1,665.6,2022-02-04,2022-02-04,0 days,0.826,0.075
1574,124,Aurobindo Pharma,666.8,7.48,39070.42,0.59,696.99,-13.72,5941.92,-8.35,18.46,,666.3,,,671.8,666.8,670.8,,,,666.3,671.8,666.3,2022-02-04,2022-02-04,0 days,0.825,0.075
1575,343,Borosil Renew.,668.35,57.64,8707.25,0,34.11,142.6,160.52,40.7,28.9,,667.85,,,673.35,668.35,672.35,,,,667.85,673.35,667.85,2022-02-04,2022-02-04,0 days,0.824,0.075
1576,1040,IFB Agro Inds.,673.35,10.28,630.94,0,8.99,-47.4,256.64,28.01,13.79,,672.85,,,678.35,673.35,677.35,,,,672.85,678.35,672.85,2022-02-04,2022-02-04,0 days,0.817,0.074
1577,840,MPS,674,15.62,1216.58,0,21.99,22.78,112.11,-3.51,23.98,,673.5,,,679,674,678,,,,673.5,679,673.5,2022-02-04,2022-02-04,0 days,0.817,0.074
1578,1466,NILE,680.45,8.21,204.16,0.15,8.06,197.42,199.87,22.39,11.68,,679.95,,,685.45,680.45,684.45,,,,679.95,685.45,679.95,2022-02-04,2022-02-04,0 days,0.809,0.074
1579,878,Everest Inds.,682,21.31,1066.9,1.09,10.63,-38.98,297.4,9.35,18.53,,681.5,,,687,682,686,,,,681.5,687,681.5,2022-02-04,2022-02-04,0 days,0.807,0.073
1580,1202,Albert David,687,10.72,392.26,0.88,12.67,29.42,86.34,20.44,11.57,,686.5,,,692,687,691,,,,686.5,692,686.5,2022-02-04,2022-02-04,0 days,0.801,0.073
1581,528,Tarsons Products,689,53.28,3665.94,0,24.84,,69.15,,,,688.5,,,694,689,693,,,,688.5,694,688.5,2022-02-04,2022-02-04,0 days,0.799,0.073
1582,101,Gujarat Gas,689.05,32.3,47433.52,0.29,249.13,-47.6,3614.52,43.83,33.96,,688.55,,,694.05,689.05,693.05,,,,688.55,694.05,688.55,2022-02-04,2022-02-04,0 days,0.799,0.073
1583,908,TTK Healthcare,690.9,27.84,976.26,0.87,12.81,-51.43,206.36,29.24,10.56,,690.4,,,695.9,690.9,694.9,,,,690.4,695.9,690.4,2022-02-04,2022-02-04,0 days,0.797,0.072
1584,120,Sona BLW Precis.,692.15,290.07,40445.99,0.11,7.61,3.4,43.91,0.02,17.59,,691.65,,,697.15,692.15,696.15,,,,691.65,697.15,691.65,2022-02-04,2022-02-04,0 days,0.795,0.072
1585,276,Chola Financial,693.1,16.98,13011.98,0.08,303.09,26.82,3583.13,2.4,10.87,,692.6,,,698.1,693.1,697.1,,,,692.6,698.1,692.6,2022-02-04,2022-02-04,0 days,0.794,0.072
1586,1459,DHP India,695.1,7.54,208.53,0.58,11.31,273.27,31.11,81.72,22.4,,694.6,,,700.1,695.1,699.1,,,,694.6,700.1,694.6,2022-02-04,2022-02-04,0 days,0.792,0.072
1587,641,Oriental Aromat.,696.7,36.06,2344.65,0.35,8.34,-77.06,205.78,7.92,24.45,,696.2,,,701.7,696.7,700.7,,,,696.2,701.7,696.2,2022-02-04,2022-02-04,0 days,0.79,0.072
1588,1910,Keltech Energies,697,15.13,69.71,0.22,0.74,-24.49,97.67,64.96,11.37,,696.5,,,702,697,701,,,,696.5,702,696.5,2022-02-04,2022-02-04,0 days,0.79,0.072
1589,606,Apar Inds.,697.45,12.08,2669.07,1.39,54.96,-33.34,2228.83,30.04,22.22,,696.95,,,702.45,697.45,701.45,,,,696.95,702.45,696.95,2022-02-04,2022-02-04,0 days,0.789,0.072
1590,826,G M Breweries,700.15,12.95,1279.69,0.57,19.79,-6.25,130.88,16.79,19.95,,699.65,,,705.15,700.15,704.15,,,,699.65,705.15,699.65,2022-02-04,2022-02-04,0 days,0.786,0.071
1591,412,Supreme Petroch.,701.35,9.84,6594.11,2.16,164.54,-4.13,1296.02,39.4,71.9,,700.85,,,706.35,701.35,705.35,,,,700.85,706.35,700.85,2022-02-04,2022-02-04,0 days,0.785,0.071
1592,326,ERIS Lifescience,706,24.33,9596.66,0.87,100.77,11.78,332.15,7,27.4,,705.5,,,711,706,710,,,,705.5,711,705.5,2022-02-04,2022-02-04,0 days,0.78,0.071
1593,587,Heranba Inds,707.3,14.9,2830.15,0.1,53.49,19.58,395.39,18.93,45.26,,706.8,,,712.3,707.3,711.3,,,,706.8,712.3,706.8,2022-02-04,2022-02-04,0 days,0.778,0.071
1594,182,K P R Mill Ltd,707.1,32.3,24327.82,0.13,242.22,115.23,1211.34,28.6,25.36,,706.6,,,712.1,707.1,711.1,,,,706.6,712.1,706.6,2022-02-04,2022-02-04,0 days,0.778,0.071
1595,594,Paras Defence,707.65,183.35,2759.86,0,8.48,100.95,52.13,75.76,11.92,,707.15,,,712.65,707.65,711.65,,,,707.15,712.65,707.15,2022-02-04,2022-02-04,0 days,0.778,0.071
1596,772,Ganesha Ecosphe.,708.3,24.9,1546.16,0.28,14.26,20.03,247.89,25.18,10.77,,707.8,,,713.3,708.3,712.3,,,,707.8,713.3,707.8,2022-02-04,2022-02-04,0 days,0.777,0.071
1597,879,Jubilant Inds.,709.15,35.71,1065.92,0,28.35,106.33,327.62,89.72,16.84,,708.65,,,714.15,709.15,713.15,,,,708.65,714.15,708.65,2022-02-04,2022-02-04,0 days,0.776,0.071
1598,786,Insecticid.India,711,13.94,1451.28,0.28,41.76,0.87,443.94,-2.61,14.76,,710.5,,,716,711,715,,,,710.5,716,710.5,2022-02-04,2022-02-04,0 days,0.774,0.07
1599,10,Bharti Airtel,722.55,148.92,411793.38,0,1134,213.16,28326.4,13.03,12.33,,722.05,,,727.55,722.55,726.55,,,,722.05,727.55,722.05,2022-02-04,2022-02-04,0 days,0.762,0.069
1600,365,Prince Pipes,723.4,31.06,7997.98,0.5,76.09,63.39,761.01,65.92,28.84,,722.9,,,728.4,723.4,727.4,,,,722.9,728.4,722.9,2022-02-04,2022-02-04,0 days,0.761,0.069
1601,903,Ador Welding,730.35,28.96,993.27,0,14.64,240.94,159.51,66.54,6.43,,729.85,,,735.35,730.35,734.35,,,,729.85,735.35,729.85,2022-02-04,2022-02-04,0 days,0.754,0.069
1602,1510,Lak. Electrical,732.55,14.49,180.22,0.49,5.18,469.23,69.91,160.08,3.28,,732.05,,,737.55,732.55,736.55,,,,732.05,737.55,732.05,2022-02-04,2022-02-04,0 days,0.751,0.068
1603,546,Cartrade Tech,733.45,43,3412.39,0,-29.43,-361.6,34.43,12.44,1.42,,732.95,,,738.45,733.45,737.45,,,,732.95,738.45,732.95,2022-02-04,2022-02-04,0 days,0.75,0.068
1604,726,Wheels India,733.45,23.13,1765.02,0.14,19.37,59.95,1076.58,52.04,4.47,,732.95,,,738.45,733.45,737.45,,,,732.95,738.45,732.95,2022-02-04,2022-02-04,0 days,0.75,0.068
1605,521,Data Pattern,733.7,68.53,3806.89,0,,,,,39.13,,733.2,,,738.7,733.7,737.7,,,,733.2,738.7,733.2,2022-02-04,2022-02-04,0 days,0.75,0.068
1606,434,Transport Corp.,734.1,20.93,5673.54,0.55,81.93,63.17,837.68,3.79,14.61,,733.6,,,739.1,734.1,738.1,,,,733.6,739.1,733.6,2022-02-04,2022-02-04,0 days,0.75,0.068
1607,648,L G Balakrishnan,734,10.46,2304.18,1.36,71.08,32.54,573.91,15.18,19.64,,733.5,,,739,734,738,,,,733.5,739,733.5,2022-02-04,2022-02-04,0 days,0.75,0.068
1608,189,ICICI Securities,735.35,17.28,23727.53,2.92,380.35,42.44,941.64,51.85,37,,734.85,,,740.35,735.35,739.35,,,,734.85,740.35,734.85,2022-02-04,2022-02-04,0 days,0.748,0.068
1609,1425,SMS Lifesciences,738.7,15.65,223.34,0.2,9.74,23,84.76,40.05,14.3,,738.2,,,743.7,738.7,742.7,,,,738.2,743.7,738.2,2022-02-04,2022-02-04,0 days,0.745,0.068
1610,67,Berger Paints,740,85.29,71877.95,0.38,218.85,-0.95,2225.01,27.69,27.32,,739.5,,,745,740,744,,,,739.5,745,739.5,2022-02-04,2022-02-04,0 days,0.744,0.068
1611,31,Adani Ports,740.2,28.26,151130.45,0.68,1472.26,-5.71,3797.1,1.35,14.1,,739.7,,,745.2,740.2,744.2,,,,739.7,745.2,739.7,2022-02-04,2022-02-04,0 days,0.744,0.068
1612,656,Mold-Tek Pack.,742.45,34.49,2247.36,0.92,16.66,11.07,160.28,20.04,22.72,,741.95,,,747.45,742.45,746.45,,,,741.95,747.45,741.95,2022-02-04,2022-02-04,0 days,0.741,0.067
1613,70,Tata Consumer,744.05,83.07,68568.11,0.54,265.05,23.01,3208.38,4.52,8.85,,743.55,,,749.05,744.05,748.05,,,,743.55,749.05,743.55,2022-02-04,2022-02-04,0 days,0.74,0.067
1614,714,Novartis India,744.45,82.49,1838.1,1.34,7.02,-6.65,104.48,9.03,6.1,,743.95,,,749.45,744.45,748.45,,,,743.95,749.45,743.95,2022-02-04,2022-02-04,0 days,0.739,0.067
1615,548,Tata Steel Long,747.1,3.26,3369.47,0.67,331.61,352.54,1687.64,158.4,19.23,,746.6,,,752.1,747.1,751.1,,,,746.6,752.1,746.6,2022-02-04,2022-02-04,0 days,0.737,0.067
1616,560,Paisalo Digital,747.6,51.39,3161.77,0.13,21.24,-2.66,91.12,29.17,11.71,,747.1,,,752.6,747.6,751.6,,,,747.1,752.6,747.1,2022-02-04,2022-02-04,0 days,0.736,0.067
1618,515,Sansera Enginee.,748,39.89,3893.36,0,50.68,13.18,479.68,23.72,12.55,,747.5,,,753,748,752,,,,747.5,753,747.5,2022-02-04,2022-02-04,0 days,0.736,0.067
1619,300,Quess Corp,748.25,194.99,11065.35,0.95,37.56,-22.36,3227.84,23.43,7.72,,747.75,,,753.25,748.25,752.25,,,,747.75,753.25,747.75,2022-02-04,2022-02-04,0 days,0.736,0.067
1617,133,Bharat Forge,748.7,50.64,34858.63,0.27,271.19,903866.67,2385.62,73.36,3.23,,748.2,,,753.7,748.7,752.7,,,,748.2,753.7,748.2,2022-02-04,2022-02-04,0 days,0.735,0.067
1620,1161,Empire Inds.,752,37.57,451.2,3.32,3.39,-41.45,111.95,-18.49,9.02,,751.5,,,757,752,756,,,,751.5,757,751.5,2022-02-04,2022-02-04,0 days,0.732,0.067
1621,1079,Sandesh,752,6.41,569.26,0.67,22.94,-0.46,73.25,23.03,13.87,,751.5,,,757,752,756,,,,751.5,757,751.5,2022-02-04,2022-02-04,0 days,0.732,0.067
1622,436,Gujarat Alkalies,753.65,26.7,5534.85,1.06,75.04,13.08,825.76,29.38,4.71,,753.15,,,758.65,753.65,757.65,,,,753.15,758.65,753.15,2022-02-04,2022-02-04,0 days,0.73,0.066
1623,317,Intellect Design,760.4,30.59,10218.38,0,100.85,25.48,508.29,32.99,21.57,,759.9,,,765.4,760.4,764.4,,,,759.9,765.4,759.9,2022-02-04,2022-02-04,0 days,0.724,0.066
1624,960,Summit Securitie,760.3,13.97,828.72,0,43.82,1919.35,61.56,1258.94,0.72,,759.8,,,765.3,760.3,764.3,,,,759.8,765.3,759.8,2022-02-04,2022-02-04,0 days,0.724,0.066
